date,expiration,strike,type,bid,ask,mark,last,volume,open_interest,implied_volatility,delta,dte,spot
2020-03-16,2020-03-16,180.0,call,63.12,63.91,63.52,71.69,10,0,4.97085,0.89129,0,239.85
2020-03-16,2020-03-16,185.0,call,58.12,58.91,58.52,0.0,0,0,4.61964,0.88391,0,239.85
2020-03-16,2020-03-16,190.0,call,53.12,53.91,53.52,0.0,0,0,4.27819,0.87543,0,239.85
2020-03-16,2020-03-16,195.0,call,48.12,48.91,48.52,0.0,0,0,3.93673,0.866,0,239.85
2020-03-16,2020-03-16,200.0,call,43.13,43.92,43.53,0.0,0,0,3.60503,0.85481,0,239.85
2020-03-16,2020-03-16,205.0,call,38.13,38.92,38.53,0.0,0,0,3.26358,0.84244,0,239.85
2020-03-16,2020-03-16,210.0,call,33.13,33.92,33.53,40.79,11,12,2.93188,0.82712,0,239.85
2020-03-16,2020-03-16,215.0,call,28.13,28.82,28.48,43.55,0,7,2.58067,0.80984,0,239.85
2020-03-16,2020-03-16,218.0,call,25.13,25.73,25.43,25.27,2,39,2.36604,0.79765,0,239.85
2020-03-16,2020-03-16,219.0,call,24.29,24.73,24.51,36.76,0,32,2.31726,0.79117,0,239.85
2020-03-16,2020-03-16,220.0,call,23.26,23.73,23.5,22.51,1,164,2.24897,0.78604,0,239.85
2020-03-16,2020-03-16,221.0,call,22.28,22.73,22.51,33.51,0,1,2.18068,0.7806,0,239.85
2020-03-16,2020-03-16,222.0,call,21.27,21.7,21.48,20.0,4,0,2.11239,0.77481,0,239.85
2020-03-16,2020-03-16,223.0,call,20.27,20.73,20.5,35.07,0,5,2.0441,0.76864,0,239.85
2020-03-16,2020-03-16,224.0,call,19.23,19.69,19.46,33.39,0,5,1.96605,0.76297,0,239.85
2020-03-16,2020-03-16,225.0,call,18.25,18.72,18.48,18.57,20,16,1.89776,0.7559,0,239.85
2020-03-16,2020-03-16,226.0,call,17.26,17.69,17.48,15.97,1,5,1.82947,0.74828,0,239.85
2020-03-16,2020-03-16,227.0,call,16.25,16.69,16.47,27.01,6,110,1.75142,0.74104,0,239.85
2020-03-16,2020-03-16,228.0,call,15.24,15.68,15.46,15.45,1,20,1.68313,0.73213,0,239.85
2020-03-16,2020-03-16,229.0,call,14.23,14.71,14.47,16.26,1,101,1.61484,0.72241,0,239.85
2020-03-16,2020-03-16,229.0,put,0.01,0.02,0.01,0.01,6997,2600,0.35633,-0.00636,0,239.85
2020-03-16,2020-03-16,230.0,call,13.22,13.69,13.46,13.05,118,524,1.53679,0.71281,0,239.85
2020-03-16,2020-03-16,231.0,call,12.25,12.72,12.48,16.39,7,66,1.4685,0.70113,0,239.85
2020-03-16,2020-03-16,231.0,put,0.01,0.02,0.01,0.02,6316,2937,0.2978,-0.00776,0,239.85
2020-03-16,2020-03-16,232.0,call,11.24,11.72,11.48,7.33,28,124,1.39045,0.68924,0,239.85
