date,open,high,low,close,adjusted_close,volume
1999-11-01,136.5,137.0,135.5625,135.5625,85.3714575325914,4006500
1999-11-02,135.968704,137.25,134.593704,134.593704,84.7613512969308,6516900
1999-11-03,136.0,136.375,135.125,135.5,85.3320977089249,7222300
1999-11-04,136.75,137.359299,135.765594,136.531204,85.9815058305916,7907500
1999-11-05,138.625,139.109299,136.781204,137.875,86.8277710082511,7431500
1999-11-08,137.0,138.375,136.75,138.0,86.9064906555841,4649200
1999-11-09,138.5,138.6875,136.281204,136.703094,86.0897547920321,4533700
1999-11-10,136.25,138.390594,136.078094,137.718704,86.7293424802547,6405600
1999-11-11,138.1875,138.5,137.468704,138.5,87.2213692449159,4794100
1999-11-12,139.25,139.984299,137.125,139.75,88.0085657182455,11802900
1999-11-15,139.843704,140.25,139.406204,140.078094,88.2151852700219,2187500
1999-11-16,140.5625,143.0,140.093704,141.25,88.9532014862409,7544800
1999-11-17,142.25,142.9375,141.3125,141.625,89.1893604282398,9459000
1999-11-18,142.4375,143.0,141.625,142.625,89.8191176069035,4491000
1999-11-19,142.406204,142.968704,142.0,142.5,89.7403979595705,4832100
1999-11-22,142.4375,143.0,141.5,142.468704,89.7206890789071,4155400
1999-11-23,142.843704,142.843704,140.375,141.218704,88.9334926055775,5918000
1999-11-24,140.75,142.4375,140.0,141.968704,89.4058104895752,4459700
1999-11-26,142.468704,142.875,141.25,141.4375,89.0712809572404,1693900
1999-11-29,140.875,141.921799,140.4375,140.9375,88.7564023679085,7348600
1999-11-30,140.75,142.3125,139.0,139.281204,87.7133380719167,7682000
1999-12-01,139.3125,140.5,139.0,140.406204,88.4218148979133,6980200
1999-12-02,140.625,141.375,140.375,141.25,88.9532014862409,6698300
1999-12-03,143.031204,145.343704,143.031204,143.843704,90.5866051995696,10045400
1999-12-06,143.531204,143.718704,142.25,142.781204,89.9174881972395,3138900
1999-12-07,143.281204,143.3125,141.375,141.625,89.1893604282398,10714200
1999-12-08,141.343704,142.0625,140.5,140.718704,88.6186140162457,4611400
1999-12-09,141.8125,142.218704,139.375,141.406204,89.0515720765769,6474700
1999-12-10,142.281204,142.8125,140.875,141.875,89.3467997229057,5127300
1999-12-13,141.4375,142.718704,141.281204,142.125,89.5042390175716,4210800
1999-12-14,141.625,142.484299,140.625,140.75,88.6383228969091,5739000
1999-12-15,140.375,142.203094,140.031204,141.5,89.1106407809068,6879100
1999-12-16,142.1875,142.656204,141.156204,142.125,89.5042390175716,5854900
1999-12-17,143.0,143.3125,142.0625,142.6875,90.0773507975289,4775400
1999-12-20,142.5625,143.1875,141.093704,141.656204,89.4263027970517,4608700
1999-12-21,141.593704,144.0625,141.343704,143.8125,90.7875533005317,7981300
1999-12-22,143.625,144.1875,142.968704,144.1875,91.0242874681993,5377500
1999-12-23,145.015594,146.484299,145.0,146.484299,92.4742362670388,5721700
1999-12-27,146.5,146.781204,145.0625,146.281204,92.3460241982856,2691000
1999-12-28,145.875,146.5,145.484299,146.1875,92.28686969576,4084500
1999-12-29,146.3125,146.8125,145.3125,146.8125,92.6814266418727,3001000
1999-12-30,147.125,147.5625,146.1875,146.640594,92.5729039116671,3641300
1999-12-31,146.843704,147.5,146.25,146.875,92.7208823364839,3172700
2000-01-03,148.25,148.25,143.875,145.4375,91.8134013604247,8164300
2000-01-04,143.531204,144.0625,139.640594,139.75,88.2229331507992,8089800
2000-01-05,139.9375,141.531204,137.25,140.0,88.3807559292443,12177900
2000-01-06,139.625,141.5,137.75,137.75,86.9603509232386,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,92.0106798334811,8066500
2000-01-10,146.25,146.906204,145.031204,146.25,92.3263253903712,5741700
2000-01-11,145.8125,146.093704,143.5,144.5,91.2215659412557,7503700
2000-01-12,144.593704,144.593704,142.875,143.0625,90.3140849651965,6907700
2000-01-13,144.468704,145.75,143.281204,145.0,91.5372114981459,5158300
2000-01-14,146.531204,147.468704,145.968704,146.968704,92.7800368390096,7437300
2000-01-18,145.343704,146.625,145.1875,145.8125,92.0501355280924,6488500
2000-01-19,145.3125,147.0,145.0,147.0,92.7997937257065,6157900
2000-01-20,146.968704,146.968704,143.8125,144.75,91.3793887197008,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,91.1821102466444,6244800
2000-01-24,145.656204,145.843704,139.406204,140.343704,88.597733210215,7896900
2000-01-25,140.515594,141.9375,139.0,141.9375,89.6038824621936,9942500
2000-01-26,141.0,141.546799,140.093704,140.8125,88.8936799591908,5158100
2000-01-27,141.843704,142.218704,138.125,140.25,88.5385787076893,10922700
2000-01-28,139.4375,140.0625,135.531204,135.875,85.7766800849005,11916200
2000-01-31,135.8125,139.671799,135.0,139.5625,88.1045660669654,10768700
2000-02-01,139.75,141.6875,138.531204,140.9375,88.9725913484133,8419900
2000-02-02,141.281204,142.25,140.375,141.0625,89.0515027376359,6205900
2000-02-03,140.875,143.25,140.0,143.1875,90.392996354419,7997500
2000-02-04,143.1875,144.0,142.125,142.593704,90.0181382162207,4925400
2000-02-07,142.5625,142.781204,141.4375,142.375,89.8800723244725,5845800
2000-02-08,143.968704,144.5625,143.625,144.3125,91.1031988574219,4936400
2000-02-09,144.468704,144.468704,141.265594,141.281204,89.1895686293841,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,89.367148294526,6690600
2000-02-11,141.843704,141.9375,138.031204,138.6875,87.5521863424076,9849800
2000-02-14,139.781204,139.781204,138.3125,139.5,88.0651103723541,8528800
2000-02-15,139.25,141.218704,137.796799,141.078094,89.0613470912641,11078300
2000-02-16,140.375,140.9375,138.796799,139.0,87.749464815464,8845400
2000-02-17,140.4375,140.4375,138.218704,138.281204,87.2956952880431,7584200
2000-02-18,138.875,138.875,134.625,135.3125,85.421578833399,9409200
2000-02-22,135.1875,136.343704,133.531204,134.968704,85.2045434736458,16415400
2000-02-23,135.625,137.468704,134.5,136.5625,86.2106927256244,12119000
2000-02-24,136.6875,137.031204,133.093704,133.8125,84.4746421627286,17375000
2000-02-25,135.1875,136.718704,133.125,133.328094,84.1688409594667,10559900
2000-02-28,133.375,136.6875,132.718704,136.125,85.9345028633455,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,86.7630724501822,8242500
2000-03-01,137.625,139.0,137.218704,138.4375,87.3943635639625,6868000
2000-03-02,138.6875,139.125,137.343704,138.531204,87.4535180664882,7600200
2000-03-03,140.4375,141.718704,139.718704,141.125,89.0909584322471,12770300
2000-03-06,140.8125,141.343704,138.75,139.75,88.2229331507992,11967100
2000-03-07,140.0,140.156204,135.218704,137.046799,86.5164263807371,20062000
2000-03-08,136.468704,137.843704,135.031204,136.875,86.4079711986808,11808500
2000-03-09,137.25,140.875,136.125,140.875,88.933135653802,5500900
2000-03-10,140.1875,142.0,139.531204,140.125,88.4596673184668,7924600
2000-03-13,136.6875,140.468704,135.6875,138.593704,87.4929737610995,10540500
2000-03-14,139.281204,140.093704,136.156204,136.625,86.2501484202357,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,88.2623888454105,10300800
2000-03-16,141.625,146.843704,140.875,146.343704,92.3854798928969,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,92.9944352957806,10272900
2000-03-20,146.875,147.343704,144.781204,146.1875,92.5197720786179,12502300
2000-03-21,145.531204,149.75,144.5,149.1875,94.4184249472685,13612600
2000-03-22,149.5625,150.843704,148.6875,150.093704,94.991947221996,8260000
2000-03-23,149.156204,153.468704,149.156204,152.656204,96.6137132139684,11654500
2000-03-24,152.875,155.75,151.718704,153.5625,97.1872937140506,11462900
2000-03-27,153.375,153.781204,151.8125,151.9375,96.1588567435315,8798600
2000-03-28,151.25,152.984299,150.593704,151.0625,95.6050829901751,6334400
2000-03-29,151.5625,152.484299,149.656204,151.218704,95.70394204774,6747500
2000-03-30,150.156204,151.921799,147.125,148.6875,94.1019828024934,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,95.1699750411093,9249100
2000-04-03,150.125,151.25,148.6875,151.25,95.7237487944657,8508200
2000-04-04,151.75,153.0,141.390594,150.125,95.0117539687218,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,94.4184249472685,8387200
